asteroidLabel,discovered,discovererLabel
2023 HT4,2023-04-24T00:00:00Z,Mount Lemmon Survey
2023 GQ2,2023-04-12T00:00:00Z,Bok Telescope
2023 FY3,2023-03-25T00:00:00Z,Catalina Sky Survey
2023 FY3,2023-03-25T00:00:00Z,Kacper Wierzchoś
2023 DZ2,2023-02-27T00:00:00Z,http://www.wikidata.org/.well-known/genid/1fc11aca1fac426d0763053510afd316
2023 CX₁,2023-02-12T00:00:00Z,Krisztián Sárneczky
2023 BU,2023-01-21T00:00:00Z,Gennady Borisov
2022 YG,2022-12-15T00:00:00Z,Gennady Borisov
2022 WJ1,2022-11-19T00:00:00Z,Mount Lemmon Survey
2022 WJ1,2022-11-19T00:00:00Z,David Rankin
2022 EB5,2022-03-11T00:00:00Z,Krisztián Sárneczky
Q117353114,2022-02-22T00:00:00Z,Erwin Schwab
2022 AP7,2022-01-13T00:00:00Z,Scott S. Sheppard
2022 AE1,2022-01-06T00:00:00Z,Mount Lemmon Survey
620108 (2021 AX7),2021-01-15T00:00:00Z,Mount Lemmon Survey
(614689) 2020 XL5,2020-12-12T00:00:00Z,Pan-STARRS
2020 SW,2020-09-18T00:00:00Z,Mount Lemmon Survey
2020 SO,2020-09-17T00:00:00Z,Pan-STARRS
2020 HA10,2020-04-28T00:00:00Z,Mount Lemmon Survey
2020 CD3,2020-02-15T00:00:00Z,Mount Lemmon Survey
2020 CD3,2020-02-15T00:00:00Z,Kacper Wierzchoś
2020 CD3,2020-02-15T00:00:00Z,Theodore Pruyne
2018 VG₁₈,2018-11-10T00:00:00Z,Scott S. Sheppard
2018 VG₁₈,2018-11-10T00:00:00Z,Chadwick Trujillo
2018 VG₁₈,2018-11-10T00:00:00Z,David J. Tholen
2018 VP1,2018-11-03T00:00:00Z,Zwicky Transient Facility
2018 LA,2018-06-02T00:00:00Z,Mount Lemmon Survey
2018 GE3,2018-04-14T00:00:00Z,Catalina Sky Survey
2018 FC4,2018-03-21T00:00:00Z,Mount Lemmon Survey
2018 EC4,2018-03-10T00:00:00Z,Mount Lemmon Survey
2018 DV1,2018-02-26T00:00:00Z,Mount Lemmon Survey
2018 CN2,2018-02-08T00:00:00Z,Mount Lemmon Survey
2018 CF2,2018-02-07T00:00:00Z,Mount Lemmon Survey
2018 CB,2018-02-04T00:00:00Z,Catalina Sky Survey
2018 AH,2018-01-04T00:00:00Z,Asteroid Terrestrial-impact Last Alert System
2018 CC,2018-01-01T00:00:00Z,Catalina Sky Survey
2017 YZ1,2017-12-20T00:00:00Z,Mount Lemmon Survey
2017 SX17,2017-09-29T00:00:00Z,Mount Lemmon Survey
618349 Williekoorts,2017-09-25T00:00:00Z,Asteroid Terrestrial-impact Last Alert System
2017 FZ2,2017-03-19T00:00:00Z,Mount Lemmon Survey
2017 DR109,2017-02-27T00:00:00Z,Catalina Sky Survey
(467028) 2016 CD189,2017-01-28T00:00:00Z,Mount Lemmon Survey
2017 AG13,2017-01-07T00:00:00Z,Catalina Sky Survey
2017 BQ6,2017-01-01T00:00:00Z,Lincoln Near-Earth Asteroid Research
2017 MB7,2017-01-01T00:00:00Z,Pan-STARRS
2016 WF9,2016-11-27T00:00:00Z,Wide-field Infrared Survey Explorer
2016 PQ,2016-08-02T00:00:00Z,Pan-STARRS
2016 EU85,2016-03-10T00:00:00Z,Pan-STARRS
2016 CP31,2016-02-07T00:00:00Z,Catalina Sky Survey
(506121) 2016 BP81,2016-01-27T00:00:00Z,Kepler
2016 WF9,2016-01-01T00:00:00Z,Wide-field Infrared Survey Explorer
(523797) 2016 NM56,2016-01-01T00:00:00Z,Pan-STARRS
2016 CD289,2016-01-01T00:00:00Z,Scott S. Sheppard
(400187) 2006 WK187,2015-12-08T00:00:00Z,Mount Lemmon Survey
2015 TH367,2015-10-13T00:00:00Z,Scott S. Sheppard
541132 Leleākūhonua,2015-10-13T00:00:00Z,Scott S. Sheppard
541132 Leleākūhonua,2015-10-13T00:00:00Z,Chadwick Trujillo
541132 Leleākūhonua,2015-10-13T00:00:00Z,David J. Tholen
2015 TB145,2015-10-10T00:00:00Z,Pan-STARRS
(523794) 2015 RR245,2015-09-09T00:00:00Z,John J. Kavelaars
2015 RY245,2015-09-09T00:00:00Z,Outer Solar System Origins Survey
2015 KH163,2015-05-24T00:00:00Z,Outer Solar System Origins Survey
2015 KH162,2015-05-18T00:00:00Z,Scott S. Sheppard
2015 KH162,2015-05-18T00:00:00Z,Chadwick Trujillo
2015 KH162,2015-05-18T00:00:00Z,David J. Tholen
2015 HM10,2015-04-19T00:00:00Z,The Dark Energy Survey
2015 BP519,2015-01-17T00:00:00Z,The Dark Energy Survey
(541001) 2017 XF58,2015-01-17T00:00:00Z,Spacewatch
(495603) 2015 AM281,2015-01-01T00:00:00Z,Pan-STARRS
2015 GT50,2015-01-01T00:00:00Z,Outer Solar System Origins Survey
2015 KG163,2015-01-01T00:00:00Z,Outer Solar System Origins Survey
2015 FJ345,2015-01-01T00:00:00Z,Scott S. Sheppard
2015 RK258,2015-01-01T00:00:00Z,Scott S. Sheppard
(523775) 2014 YB35,2014-12-27T00:00:00Z,Catalina Sky Survey
2014 XL7,2014-12-11T00:00:00Z,Mount Lemmon Survey
514107 Kaʻepaokaʻāwela,2014-11-26T00:00:00Z,Pan-STARRS1
2014 UR116,2014-10-01T00:00:00Z,Mount Lemmon Survey
(505657) 2014 SR339,2014-09-30T00:00:00Z,Wide-field Infrared Survey Explorer
2014 RC,2014-08-31T00:00:00Z,Catalina Sky Survey
(523719) 2014 LM28,2014-08-29T00:00:00Z,Pan-STARRS
(483002) 2014 QS441,2014-08-19T00:00:00Z,The Dark Energy Survey
2014 UZ224,2014-08-19T00:00:00Z,The Dark Energy Survey
2014 OS393,2014-07-30T00:00:00Z,Hubble Space Telescope
2014 OL339,2014-07-29T00:00:00Z,EURONEAR
2014 LY21,2014-06-02T00:00:00Z,Mount Lemmon Survey
2014 JO25,2014-05-05T00:00:00Z,Mount Lemmon Survey
2014 HQ124,2014-04-23T00:00:00Z,Wide-field Infrared Survey Explorer
2012 VP113,2014-03-26T00:00:00Z,Scott S. Sheppard
2012 VP113,2014-03-26T00:00:00Z,Chadwick Trujillo
(523692) 2014 EZ51,2014-03-12T00:00:00Z,Haleakalā Observatory
2014 EC,2014-03-05T00:00:00Z,Catalina Sky Survey
2014 DX110,2014-02-28T00:00:00Z,Pan-STARRS
2014 AF5,2014-01-02T00:00:00Z,Catalina Sky Survey
2014 AA,2014-01-01T00:00:00Z,Richard Kowalski
2014 OS393,2014-01-01T00:00:00Z,Hubble Space Telescope
(556416) 2014 OE394,2014-01-01T00:00:00Z,Pan-STARRS
(533508) 2014 HC200,2014-01-01T00:00:00Z,Pan-STARRS
2014 SR349,2014-01-01T00:00:00Z,Scott S. Sheppard
2014 FC72,2014-01-01T00:00:00Z,Pan-STARRS
(556004) 2014 HA200,2014-01-01T00:00:00Z,Pan-STARRS
(523760) 2014 WQ509,2014-01-01T00:00:00Z,Pan-STARRS
2014 OJ394,2014-01-01T00:00:00Z,Pan-STARRS
(523777) 2014 YF50,2014-01-01T00:00:00Z,Pan-STARRS
(556068) 2014 JR80,2014-01-01T00:00:00Z,Pan-STARRS
2014 KA102,2014-01-01T00:00:00Z,Pan-STARRS
(523768) 2014 WQ510,2014-01-01T00:00:00Z,Pan-STARRS
(523735) 2014 QX441,2014-01-01T00:00:00Z,Pan-STARRS
(535228) 2014 YE50,2014-01-01T00:00:00Z,Pan-STARRS
(523749) 2014 UR224,2014-01-01T00:00:00Z,Pan-STARRS
(533560) 2014 JM80,2014-01-01T00:00:00Z,Pan-STARRS
(523712) 2014 JS80,2014-01-01T00:00:00Z,Pan-STARRS
(523722) 2014 LV28,2014-01-01T00:00:00Z,Pan-STARRS
(533563) 2014 JW80,2014-01-01T00:00:00Z,Pan-STARRS
(501546) 2014 JJ80,2014-01-01T00:00:00Z,Pan-STARRS
(533209) 2014 DR143,2014-01-01T00:00:00Z,Pan-STARRS
2014 MH70,2014-01-01T00:00:00Z,Pan-STARRS
2014 OP394,2014-01-01T00:00:00Z,Pan-STARRS
(523706) 2014 HF200,2014-01-01T00:00:00Z,Pan-STARRS
2014 JU80,2014-01-01T00:00:00Z,Pan-STARRS
(534627) 2014 UV224,2014-01-01T00:00:00Z,Pan-STARRS
(523765) 2014 WD510,2014-01-01T00:00:00Z,Pan-STARRS
(543735) 2014 OS394,2014-01-01T00:00:00Z,Pan-STARRS
2014 QC442,2014-01-01T00:00:00Z,Pan-STARRS
(523726) 2014 MJ70,2014-01-01T00:00:00Z,Pan-STARRS
(523718) 2014 KZ101,2014-01-01T00:00:00Z,Pan-STARRS
(480017) 2014 QB442,2014-01-01T00:00:00Z,Pan-STARRS
(501581) 2014 OB394,2014-01-01T00:00:00Z,Pan-STARRS
2014 FZ71,2014-01-01T00:00:00Z,Scott S. Sheppard
2013 YP139,2013-12-29T00:00:00Z,Wide-field Infrared Survey Explorer
2013 XY8,2013-12-07T00:00:00Z,Catalina Sky Survey
2013 TV135,2013-10-13T00:00:00Z,Crimean Astrophysical Observatory
2013 TX68,2013-10-06T00:00:00Z,Catalina Sky Survey
(466374) 2013 RY90,2013-09-06T00:00:00Z,Spacewatch
543060 Liefke,2013-09-05T00:00:00Z,Jost Jahn
2013 SY99,2013-09-01T00:00:00Z,Outer Solar System Origins Survey
543018 ROTAT,2013-09-01T00:00:00Z,Jost Jahn
Q115913791,2013-08-31T00:00:00Z,Krisztián Sárneczky
555092 Annasusanne,2013-08-30T00:00:00Z,Jost Jahn
2013 ND15,2013-07-13T00:00:00Z,Pan-STARRS
(511002) 2013 MZ5,2013-06-18T00:00:00Z,Pan-STARRS
2013 LX28,2013-06-12T00:00:00Z,Pan-STARRS
471926 Jörmungandr,2013-05-28T00:00:00Z,Jost Jahn
2013 JX28,2013-05-11T00:00:00Z,Pan-STARRS
2013 GM3,2013-04-03T00:00:00Z,Mount Lemmon Survey
2013 FW13,2013-03-23T00:00:00Z,Catalina Sky Survey
(532037) 2013 FY27,2013-03-17T00:00:00Z,Scott S. Sheppard
2013 FQ28,2013-03-17T00:00:00Z,Scott S. Sheppard
(523671) 2013 FZ27,2013-03-16T00:00:00Z,Scott S. Sheppard
542561 Ritajochen,2013-03-12T00:00:00Z,Jost Jahn
(480000) 2014 KR65,2013-03-05T00:00:00Z,Catalina Sky Survey
2013 ET,2013-03-03T00:00:00Z,Catalina Sky Survey
2013 EC,2013-03-01T00:00:00Z,Mount Lemmon Survey
495759 Jandesselberger,2013-02-10T00:00:00Z,Michał Kusiak
495759 Jandesselberger,2013-02-10T00:00:00Z,Michał Żołnowski
(496315) 2013 GP136,2013-02-08T00:00:00Z,Outer Solar System Origins Survey
551390 Thomaskeßler,2013-02-06T00:00:00Z,Jost Jahn
(454101) 2013 BP73,2013-01-22T00:00:00Z,Mount Lemmon Survey
2013 BS45,2013-01-20T00:00:00Z,James V. Scotti
(523680) 2013 YJ151,2013-01-01T00:00:00Z,Pan-STARRS
(620074) 2013 AT183,2013-01-01T00:00:00Z,Pan-STARRS
(532093) 2013 HV156,2013-01-01T00:00:00Z,Pan-STARRS
(542258) 2013 AP183,2013-01-01T00:00:00Z,Pan-STARRS
(532092) 2013 HU156,2013-01-01T00:00:00Z,Pan-STARRS
(523675) 2013 PV74,2013-01-01T00:00:00Z,Pan-STARRS
(620075) 2013 CD223,2013-01-01T00:00:00Z,Pan-STARRS
(505478) 2013 UT15,2013-01-01T00:00:00Z,Outer Solar System Origins Survey
(505448) 2013 SA100,2013-01-01T00:00:00Z,Outer Solar System Origins Survey
2013 RZ53,2013-01-01T00:00:00Z,Mount Lemmon Survey
2013 FQ28,2013-01-01T00:00:00Z,Scott S. Sheppard
2012 XE133,2012-12-12T00:00:00Z,Catalina Sky Survey
2012 VP113,2012-11-05T00:00:00Z,Scott S. Sheppard
2012 VP113,2012-11-05T00:00:00Z,Chadwick Trujillo
2012 UW158,2012-10-25T00:00:00Z,Catalina Sky Survey
2012 UE34,2012-10-18T00:00:00Z,Pan-STARRS
551014 Gorman,2012-10-18T00:00:00Z,Krisztián Sárneczky
551014 Gorman,2012-10-18T00:00:00Z,Marco Langbroek
(500495) 2012 TH267,2012-10-08T00:00:00Z,Pan-STARRS1
(500495) 2012 TH267,2012-10-08T00:00:00Z,Haleakalā Observatory
2012 TC4,2012-10-04T00:00:00Z,Pan-STARRS
(353796) 2012 RR6,2012-09-06T00:00:00Z,Mount Lemmon Survey
495181 Rogerwaters,2012-08-15T00:00:00Z,Michał Żołnowski
2012 LZ1,2012-06-10T00:00:00Z,Robert H. McNaught
2012 KP24,2012-05-23T00:00:00Z,Mount Lemmon Survey
(432949) 2012 HH2,2012-04-19T00:00:00Z,Tomáš Vorobjov
(467029) 2016 CJ189,2012-04-01T00:00:00Z,Mount Lemmon Survey
2012 FC71,2012-03-31T00:00:00Z,Mount Lemmon Survey
2012 FP35,2012-03-24T00:00:00Z,Catalina Sky Survey
2012 FN,2012-03-17T00:00:00Z,Mount Lemmon Survey
2012 EG5,2012-03-13T00:00:00Z,Pan-STARRS
367943 Duende,2012-02-23T00:00:00Z,La Sagra Observatory
2012 BX34,2012-01-25T00:00:00Z,Catalina Sky Survey
420356 Praamzius,2012-01-23T00:00:00Z,Kazimieras Černis
(531017) 2012 BA155,2012-01-01T00:00:00Z,Pan-STARRS
546843 Xuzhijian,2011-12-27T00:00:00Z,Gao Xing
546843 Xuzhijian,2011-12-27T00:00:00Z,Jin Zhangwei
(546077) 2011 YM82,2011-12-24T00:00:00Z,Mount Lemmon Survey
2011 XC2,2011-12-08T00:00:00Z,Lincoln Near-Earth Asteroid Research
(463902) 2014 UB117,2011-11-29T00:00:00Z,Spacewatch
(353742) 2011 YE28,2011-11-24T00:00:00Z,Haleakalā Observatory
(353738) 2011 YP,2011-11-20T00:00:00Z,Spacewatch
2011 WL2,2011-11-16T00:00:00Z,Lincoln Near-Earth Asteroid Research
2011 SC191,2011-10-31T00:00:00Z,Mount Lemmon Survey
(436724) 2011 UW158,2011-10-25T00:00:00Z,Haleakalā Observatory
2011 UN63,2011-10-21T00:00:00Z,Mount Lemmon Survey
(415029) 2011 UL21,2011-10-17T00:00:00Z,Catalina Sky Survey
(488438) 2016 XG23,2011-10-01T00:00:00Z,Spacewatch
2011 SP189,2011-09-29T00:00:00Z,Mount Lemmon Survey
382238 Euphemus,2011-07-08T00:00:00Z,Leonid Elenin
(343996) 2011 QK3,2011-07-02T00:00:00Z,Spacewatch
2011 MD,2011-06-22T00:00:00Z,Lincoln Near-Earth Asteroid Research
(344003) 2011 QW53,2011-06-09T00:00:00Z,Haleakalā Observatory
(343896) 2011 JK8,2011-05-06T00:00:00Z,Mount Lemmon Survey
2011 HM102,2011-04-29T00:00:00Z,New Horizons
2011 GA,2011-04-01T00:00:00Z,Mount Lemmon Survey
(467012) 2016 CM131,2011-03-29T00:00:00Z,Mount Lemmon Survey
2011 EO40,2011-03-10T00:00:00Z,Mount Lemmon Survey
2011 ES4,2011-03-02T00:00:00Z,Mount Lemmon Survey
2011 CQ1,2011-02-04T00:00:00Z,Catalina Sky Survey
(471240) 2011 BT15,2011-01-24T00:00:00Z,Pan-STARRS
(367789) 2011 AG5,2011-01-08T00:00:00Z,Mount Lemmon Survey
(523645) 2010 VK201,2011-01-01T00:00:00Z,Susan D. Benecchi
2011 WJ157,2011-01-01T00:00:00Z,Pan-STARRS
2011 BT163,2011-01-01T00:00:00Z,Pan-STARRS
(467013) 2016 CF132,2010-12-25T00:00:00Z,Mount Lemmon Survey
2010 XG11,2010-12-05T00:00:00Z,Catalina Sky Survey
(353744) 2011 YL45,2010-12-02T00:00:00Z,Mount Lemmon Survey
(488430) 2016 XT21,2010-12-02T00:00:00Z,Spacewatch
2010 WC9,2010-11-30T00:00:00Z,Catalina Sky Survey
(353737) 2011 XO1,2010-11-12T00:00:00Z,Mount Lemmon Survey
(322071) 2010 VU107,2010-11-06T00:00:00Z,Lincoln Near-Earth Asteroid Research
(322196) 2010 XV78,2010-11-06T00:00:00Z,Mount Lemmon Survey
(350061) 2010 VX141,2010-11-06T00:00:00Z,Mount Lemmon Survey
(350060) 2010 VV114,2010-11-04T00:00:00Z,Laurent Bernasconi
(322167) 2010 XA13,2010-11-03T00:00:00Z,Mount Lemmon Survey
2010 VR11,2010-11-02T00:00:00Z,David L. Rabinowitz
(316538) 2010 WG67,2010-11-02T00:00:00Z,Spacewatch
(353721) 2011 WR1,2010-11-01T00:00:00Z,Mount Lemmon Survey
(350193) 2011 WS106,2010-10-31T00:00:00Z,Catalina Sky Survey
(310107) 2010 UB96,2010-10-29T00:00:00Z,Catalina Sky Survey
(467003) 2016 CV72,2010-10-19T00:00:00Z,Mount Lemmon Survey
(310655) 2002 DK20,2010-10-17T00:00:00Z,Mount Lemmon Survey
(343680) 2010 UD2,2010-10-17T00:00:00Z,Mount Lemmon Survey
(316431) 2010 TH167,2010-10-14T00:00:00Z,Lincoln Near-Earth Asteroid Research
(326048) 2011 AY7,2010-10-14T00:00:00Z,Mount Lemmon Survey
(353342) 2010 UJ77,2010-10-13T00:00:00Z,Mount Lemmon Survey
(297144) 2010 TM177,2010-10-12T00:00:00Z,Mount Lemmon Survey
(353740) 2011 YB18,2010-10-12T00:00:00Z,Mount Lemmon Survey
(283236) 2010 TT162,2010-10-11T00:00:00Z,Bernard Christophe
2010 TD54,2010-10-09T00:00:00Z,Mount Lemmon Survey
(269622) 2010 VF38,2010-10-09T00:00:00Z,Catalina Sky Survey
(523731) 2014 OK394,2010-10-08T00:00:00Z,Pan-STARRS
(353362) 2010 XS47,2010-10-08T00:00:00Z,Catalina Sky Survey
(508338) 2015 SO20,2010-10-08T00:00:00Z,Meg Schwamb
2010 TJ,2010-10-02T00:00:00Z,David L. Rabinowitz
2010 TJ,2010-10-02T00:00:00Z,Meg Schwamb
2010 TJ,2010-10-02T00:00:00Z,Suzanne W. Tourtellotte
(353343) 2010 VD5,2010-10-02T00:00:00Z,Mount Lemmon Survey
2010 TK7,2010-10-01T00:00:00Z,Wide-field Infrared Survey Explorer
(322058) 2010 VX78,2010-09-30T00:00:00Z,Mount Lemmon Survey
(353727) 2011 WF62,2010-09-18T00:00:00Z,Mount Lemmon Survey
(419624) 2010 SO16,2010-09-17T00:00:00Z,Wide-field Infrared Survey Explorer
(312639) 2010 BX15,2010-09-15T00:00:00Z,Spacewatch
(523759) 2014 WK509,2010-09-14T00:00:00Z,Pan-STARRS
2010 RN221,2010-09-11T00:00:00Z,Mount Lemmon Observatory
(523639) 2010 RE64,2010-09-09T00:00:00Z,David L. Rabinowitz
(589683) 2010 RF43,2010-09-06T00:00:00Z,David L. Rabinowitz
(589683) 2010 RF43,2010-09-06T00:00:00Z,Susan D. Benecchi
(589683) 2010 RF43,2010-09-06T00:00:00Z,Meg Schwamb
(589683) 2010 RF43,2010-09-06T00:00:00Z,Suzanne W. Tourtellotte
2010 RX30,2010-09-05T00:00:00Z,Mount Lemmon Survey
2010 RF12,2010-09-05T00:00:00Z,Mount Lemmon Survey
(321987) 2010 UT58,2010-09-04T00:00:00Z,Spacewatch
(353336) 2010 PG26,2010-08-10T00:00:00Z,Spacewatch
257439 Peppeprosperini,2010-08-09T00:00:00Z,Virginio Cesarini observatory
(344006) 2011 QD77,2010-06-19T00:00:00Z,Mount Lemmon Survey
(297218) 2011 KT16,2010-06-14T00:00:00Z,Mount Lemmon Survey
359426 Lacks,2010-06-10T00:00:00Z,Wide-field Infrared Survey Explorer
284996 Rosaparks,2010-06-09T00:00:00Z,Wide-field Infrared Survey Explorer
2010 AU118,2010-05-27T00:00:00Z,Wide-field Infrared Survey Explorer
2010 KZ39,2010-05-21T00:00:00Z,Scott S. Sheppard
(310071) 2010 KR59,2010-05-18T00:00:00Z,Wide-field Infrared Survey Explorer
2016 AJ193,2010-05-17T00:00:00Z,Wide-field Infrared Survey Explorer
(471165) 2010 HE79,2010-05-01T00:00:00Z,Scott S. Sheppard
439718 Danielcervantes,2010-04-12T00:00:00Z,Wide-field Infrared Survey Explorer
2010 GA6,2010-04-05T00:00:00Z,Catalina Sky Survey
2010 GZ60,2010-04-05T00:00:00Z,Wide-field Infrared Survey Explorer
243536 Mannheim,2010-03-15T00:00:00Z,Erwin Schwab
471143 Dziewanna,2010-03-13T00:00:00Z,Scott S. Sheppard
471143 Dziewanna,2010-03-13T00:00:00Z,Chadwick Trujillo
471143 Dziewanna,2010-03-13T00:00:00Z,Andrzej Udalski
471143 Dziewanna,2010-03-13T00:00:00Z,Marcin Kubiak
241538 Chudniv,2010-03-10T00:00:00Z,Andrushivka Astronomical Observatory
239792 Hankakováčová,2010-03-09T00:00:00Z,Tomáš Vorobjov
(316179) 2010 EN65,2010-03-07T00:00:00Z,David L. Rabinowitz
343444 Halluzinelle,2010-03-07T00:00:00Z,Erwin Schwab
2010 FX86,2010-03-01T00:00:00Z,Scott S. Sheppard
2010 EL139,2010-03-01T00:00:00Z,Andrzej Udalski
471109 Vladobahýl,2010-02-12T00:00:00Z,Stefan Kürti
279377 Lechmankiewicz,2010-02-07T00:00:00Z,"Astronomical Research Observatory, Charleston"
243516 Marklarsen,2010-02-06T00:00:00Z,Wide-field Infrared Survey Explorer
233967 Vierkant,2010-01-24T00:00:00Z,Rainer Kracht
(614599) 2010 AB78,2010-01-12T00:00:00Z,Wide-field Infrared Survey Explorer
(472984) 2015 HZ12,2010-01-12T00:00:00Z,Spacewatch
(233960) 2010 AX2,2010-01-07T00:00:00Z,Andrew Lowe
(233961) 2010 AA3,2010-01-07T00:00:00Z,Andrew Lowe
2010 AA15,2010-01-07T00:00:00Z,Mount Lemmon Survey
(523643) 2010 TY53,2010-01-01T00:00:00Z,David L. Rabinowitz
2010 XC15,2010-01-01T00:00:00Z,Catalina Sky Survey
2010 RF188,2010-01-01T00:00:00Z,Pan-STARRS
(523635) 2010 DN93,2010-01-01T00:00:00Z,Pan-STARRS
2010 XE91,2010-01-01T00:00:00Z,Pan-STARRS
2010 MR116,2010-01-01T00:00:00Z,Pan-STARRS
(392741) 2012 SQ31,2009-12-27T00:00:00Z,Cerro Tololo Inter-American Observatory
(231664) 2009 YL6,2009-12-20T00:00:00Z,Mount Lemmon Survey
(297155) 2010 UV66,2009-12-20T00:00:00Z,Mount Lemmon Survey
(264157) 2009 YM,2009-12-18T00:00:00Z,Mount Lemmon Survey
(386723) 2009 YE7,2009-12-17T00:00:00Z,David L. Rabinowitz
331105 Giselher,2009-12-13T00:00:00Z,Rainer Kracht
269589 Kryachko,2009-12-10T00:00:00Z,Vital Mikalaevič Newski
(350055) 2010 RE38,2009-11-26T00:00:00Z,Mount Lemmon Survey
(296853) 2009 WC185,2009-11-24T00:00:00Z,Spacewatch
(331107) 2010 BS118,2009-11-24T00:00:00Z,Catalina Sky Survey
(316174) 2009 WM250,2009-11-23T00:00:00Z,Mount Lemmon Survey
(322194) 2010 XW76,2009-11-23T00:00:00Z,Catalina Sky Survey
(325749) 2009 WC53,2009-11-22T00:00:00Z,BATTeRS
233943 Falera,2009-11-21T00:00:00Z,José De Queiroz
(297168) 2010 VW81,2009-11-21T00:00:00Z,Catalina Sky Survey
(321625) 2009 WR99,2009-11-21T00:00:00Z,Spacewatch
(316170) 2009 WV149,2009-11-19T00:00:00Z,Mount Lemmon Survey
(243509) 2009 WB80,2009-11-18T00:00:00Z,Spacewatch
(529366) 2009 WM1,2009-11-17T00:00:00Z,Catalina Sky Survey
231649 Korotkiy,2009-11-17T00:00:00Z,Dmitry Chestnov
(312636) 2009 WG229,2009-11-17T00:00:00Z,Mount Lemmon Survey
(316173) 2009 WB240,2009-11-17T00:00:00Z,Catalina Sky Survey
(321628) 2009 WV107,2009-11-17T00:00:00Z,Mount Lemmon Survey
(353364) 2010 XC77,2009-11-17T00:00:00Z,Catalina Sky Survey
269550 Chur,2009-11-16T00:00:00Z,José De Queiroz
(237338) 2009 WS60,2009-11-16T00:00:00Z,Mount Lemmon Survey
(257418) 2009 WD2,2009-11-16T00:00:00Z,Mount Lemmon Survey
(306003) 2009 WM32,2009-11-16T00:00:00Z,Mount Lemmon Survey
(312633) 2009 WE5,2009-11-16T00:00:00Z,Spacewatch
(312634) 2009 WM59,2009-11-16T00:00:00Z,Mount Lemmon Survey
(312635) 2009 WC221,2009-11-16T00:00:00Z,Mount Lemmon Survey
(316166) 2009 WQ1,2009-11-16T00:00:00Z,Spacewatch
(316168) 2009 WA57,2009-11-16T00:00:00Z,Mount Lemmon Survey
(229902) 2009 VA81,2009-11-15T00:00:00Z,Catalina Sky Survey
(275137) 2009 VP72,2009-11-15T00:00:00Z,Lincoln Near-Earth Asteroid Research
275106 Sarahdubeyjames,2009-11-14T00:00:00Z,Norman Falla
229900 Emmagreaves,2009-11-14T00:00:00Z,Norman Falla
555152 Oproiu,2009-11-14T00:00:00Z,Jorge  Iglesias-Páramo
555152 Oproiu,2009-11-14T00:00:00Z,Ovidiu Văduvescu
(264153) 2009 VH80,2009-11-11T00:00:00Z,Catalina Sky Survey
264150 Dolops,2009-11-10T00:00:00Z,Timur Kryachko
(296809) 2009 VC79,2009-11-10T00:00:00Z,Catalina Sky Survey
(316164) 2009 VM71,2009-11-10T00:00:00Z,Spacewatch
(321613) 2009 VA86,2009-11-10T00:00:00Z,Spacewatch
(316163) 2009 VE46,2009-11-09T00:00:00Z,Spacewatch
(264155) 2009 VJ109,2009-11-09T00:00:00Z,Mount Lemmon Survey
(243504) 2009 VD77,2009-11-08T00:00:00Z,Catalina Sky Survey
(264154) 2009 VA107,2009-11-08T00:00:00Z,Catalina Sky Survey
(321616) 2009 VR107,2009-11-08T00:00:00Z,Mount Lemmon Survey
(326125) 2011 YY61,2009-11-08T00:00:00Z,Catalina Sky Survey
(331050) 2009 VH107,2009-11-08T00:00:00Z,Mount Lemmon Survey
2009 VA,2009-11-06T00:00:00Z,Catalina Sky Survey
(243499) 2009 UA131,2009-10-30T00:00:00Z,Mount Lemmon Survey
(296777) 2009 UX130,2009-10-27T00:00:00Z,Mount Lemmon Survey
(297196) 2011 AY26,2009-10-27T00:00:00Z,Mount Lemmon Survey
(316176) 2010 BB46,2009-10-27T00:00:00Z,Mount Lemmon Survey
(321653) 2010 BP59,2009-10-27T00:00:00Z,Mount Lemmon Survey
(321611) 2009 VG58,2009-10-26T00:00:00Z,Spacewatch
(322520) 2011 YD8,2009-10-26T00:00:00Z,Mount Lemmon Survey
(312640) 2010 BJ43,2009-10-26T00:00:00Z,Mount Lemmon Survey
331011 Peccioli,2009-10-26T00:00:00Z,Paolo Bacci
331011 Peccioli,2009-10-26T00:00:00Z,Francesco Biasci
(237332) 2009 UN87,2009-10-24T00:00:00Z,Catalina Sky Survey
(243501) 2009 UR139,2009-10-24T00:00:00Z,Mount Lemmon Survey
(246833) 2009 UD136,2009-10-24T00:00:00Z,Catalina Sky Survey
(264141) 2009 UG87,2009-10-24T00:00:00Z,Catalina Sky Survey
(301579) 2009 UC87,2009-10-24T00:00:00Z,Catalina Sky Survey
(231636) 2009 UP84,2009-10-23T00:00:00Z,Mount Lemmon Survey
(257415) 2009 UP118,2009-10-23T00:00:00Z,Mount Lemmon Survey
(264145) 2009 UY97,2009-10-23T00:00:00Z,Mount Lemmon Survey
(312629) 2009 UB101,2009-10-23T00:00:00Z,Mount Lemmon Survey
(316162) 2009 UE108,2009-10-23T00:00:00Z,Spacewatch
(321584) 2009 UG21,2009-10-23T00:00:00Z,Peter Kocher
(321590) 2009 UE72,2009-10-23T00:00:00Z,Mount Lemmon Survey
(321603) 2009 US148,2009-10-23T00:00:00Z,Spacewatch
(328764) 2009 UW97,2009-10-23T00:00:00Z,Mount Lemmon Survey
(246831) 2009 UK81,2009-10-22T00:00:00Z,Mount Lemmon Survey
